time,open,high,low,close
2026-07-28 08:30:00+00:00,63480.0,63480.0,63460.0,63462.31
2026-07-28 08:31:00+00:00,63462.31,63462.31,63440.0,63442.55
2026-07-28 08:32:00+00:00,63442.55,63450.98,63442.55,63450.98
2026-07-28 08:33:00+00:00,63450.97,63450.97,63420.0,63422.55
2026-07-28 08:34:00+00:00,63422.55,63440.0,63422.54,63439.99
2026-07-28 08:35:00+00:00,63440.0,63440.0,63435.62,63435.63
2026-07-28 08:36:00+00:00,63435.63,63435.63,63435.62,63435.62
2026-07-28 08:37:00+00:00,63435.62,63443.04,63435.62,63443.04
2026-07-28 08:38:00+00:00,63443.03,63467.06,63443.03,63467.06
2026-07-28 08:39:00+00:00,63467.05,63467.05,63458.99,63465.33
2026-07-28 08:40:00+00:00,63465.71,63487.09,63465.7,63487.08
2026-07-28 08:41:00+00:00,63487.08,63514.61,63482.31,63514.61
2026-07-28 08:42:00+00:00,63514.6,63514.6,63476.25,63476.91
2026-07-28 08:43:00+00:00,63476.9,63506.97,63476.9,63506.97
2026-07-28 08:44:00+00:00,63506.96,63518.0,63491.2,63496.61
2026-07-28 08:45:00+00:00,63496.61,63510.0,63491.68,63498.02
2026-07-28 08:46:00+00:00,63498.02,63512.0,63498.02,63511.99
2026-07-28 08:47:00+00:00,63512.0,63512.0,63496.28,63496.29
2026-07-28 08:48:00+00:00,63496.28,63496.29,63496.28,63496.28
2026-07-28 08:49:00+00:00,63496.29,63496.29,63489.86,63489.86
2026-07-28 08:50:00+00:00,63489.87,63489.87,63485.04,63485.05
2026-07-28 08:51:00+00:00,63485.04,63485.05,63453.26,63453.27
2026-07-28 08:52:00+00:00,63453.27,63453.27,63436.0,63436.0
2026-07-28 08:53:00+00:00,63436.0,63438.87,63416.6,63416.6
2026-07-28 08:54:00+00:00,63416.61,63425.07,63416.6,63425.07
2026-07-28 08:55:00+00:00,63425.07,63425.07,63406.11,63421.42
2026-07-28 08:56:00+00:00,63421.42,63421.43,63421.42,63421.43
2026-07-28 08:57:00+00:00,63421.43,63423.65,63414.99,63423.65
2026-07-28 08:58:00+00:00,63423.64,63428.0,63423.64,63428.0
2026-07-28 08:59:00+00:00,63427.99,63428.08,63427.99,63428.08
2026-07-28 09:00:00+00:00,63428.07,63432.0,63416.08,63432.0
2026-07-28 09:01:00+00:00,63431.99,63462.99,63431.99,63462.99
2026-07-28 09:02:00+00:00,63462.98,63463.99,63436.49,63436.49
2026-07-28 09:03:00+00:00,63436.49,63437.72,63416.01,63416.01
2026-07-28 09:04:00+00:00,63416.02,63416.02,63416.0,63416.02
2026-07-28 09:05:00+00:00,63416.02,63416.02,63396.0,63396.0
2026-07-28 09:06:00+00:00,63396.01,63427.87,63396.0,63427.86
2026-07-28 09:07:00+00:00,63427.87,63440.0,63427.86,63439.99
2026-07-28 09:08:00+00:00,63439.99,63454.84,63439.99,63454.84
2026-07-28 09:09:00+00:00,63454.84,63454.84,63454.83,63454.83
2026-07-28 09:10:00+00:00,63454.84,63465.99,63454.83,63461.49
2026-07-28 09:11:00+00:00,63461.49,63461.5,63455.68,63455.68
2026-07-28 09:12:00+00:00,63455.68,63460.83,63455.68,63460.0
2026-07-28 09:13:00+00:00,63460.01,63460.01,63456.26,63456.27
2026-07-28 09:14:00+00:00,63456.26,63456.27,63431.98,63431.98
2026-07-28 09:15:00+00:00,63431.99,63439.58,63431.98,63439.57
2026-07-28 09:16:00+00:00,63439.58,63439.58,63439.55,63439.56
2026-07-28 09:17:00+00:00,63439.56,63441.47,63438.0,63438.0
2026-07-28 09:18:00+00:00,63438.0,63438.46,63415.65,63438.45
2026-07-28 09:19:00+00:00,63438.45,63452.0,63438.45,63452.0
2026-07-28 09:20:00+00:00,63452.0,63474.0,63452.0,63471.42
2026-07-28 09:21:00+00:00,63471.43,63488.0,63471.42,63477.99
2026-07-28 09:22:00+00:00,63477.98,63481.87,63477.98,63481.86
2026-07-28 09:23:00+00:00,63481.86,63489.19,63465.8,63466.01
2026-07-28 09:24:00+00:00,63466.01,63482.0,63466.0,63481.39
2026-07-28 09:25:00+00:00,63481.39,63481.39,63471.76,63471.76
2026-07-28 09:26:00+00:00,63471.76,63471.77,63467.25,63467.26
2026-07-28 09:27:00+00:00,63467.25,63467.6,63459.61,63459.61
2026-07-28 09:28:00+00:00,63459.62,63471.67,63459.61,63471.66
2026-07-28 09:29:00+00:00,63471.67,63499.76,63471.66,63496.3
2026-07-28 09:30:00+00:00,63496.29,63511.42,63496.29,63511.42
2026-07-28 09:31:00+00:00,63511.41,63540.81,63511.41,63540.81
2026-07-28 09:32:00+00:00,63540.81,63540.81,63530.51,63530.52
2026-07-28 09:33:00+00:00,63530.52,63530.52,63528.48,63528.49
2026-07-28 09:34:00+00:00,63528.49,63528.49,63528.48,63528.48
2026-07-28 09:35:00+00:00,63528.49,63528.49,63528.46,63528.46
2026-07-28 09:36:00+00:00,63528.46,63528.47,63528.46,63528.47
2026-07-28 09:37:00+00:00,63528.47,63528.47,63481.03,63501.0
2026-07-28 09:38:00+00:00,63501.0,63527.72,63501.0,63527.72
2026-07-28 09:39:00+00:00,63527.73,63565.39,63527.73,63565.38
2026-07-28 09:40:00+00:00,63565.38,63581.33,63558.33,63558.34
2026-07-28 09:41:00+00:00,63558.33,63558.33,63529.77,63529.77
